12/08/02:45:40 02:45:40 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:45:41 02:45:41 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 4 | OLD_ROLL = 4 || Function try to move counter out of the board
12/08/02:45:42 02:45:42 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 5 | OLD_ROLL = 5 || Function try to move counter out of the board
12/08/02:45:43 02:45:43 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 6 | OLD_ROLL = 6 || Function try to move counter out of the board
12/08/02:45:45 02:45:45 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:45:46 02:45:46 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 6 | OLD_ROLL = 6 || Function try to move counter out of the board
12/08/02:45:47 02:45:47 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 4 | OLD_ROLL = 4 || Function try to move counter out of the board
12/08/02:45:49 02:45:49 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 4 | OLD_ROLL = 4 || Function try to move counter out of the board
12/08/02:45:50 02:45:50 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:45:52 02:45:52 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 1 | OLD_ROLL = 1 || Function try to move counter out of the board
12/08/02:45:53 02:45:53 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 6 | OLD_ROLL = 6 || Function try to move counter out of the board
12/08/02:45:54 02:45:54 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 5 | OLD_ROLL = 5 || Function try to move counter out of the board
12/08/02:45:55 02:45:55 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:45:57 02:45:57 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 4 | OLD_ROLL = 4 || Function try to move counter out of the board
12/08/02:45:58 02:45:58 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 1 | OLD_ROLL = 1 || Function try to move counter out of the board
12/08/02:45:59 02:45:59 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:46:00 02:46:00 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 4 | OLD_ROLL = 4 || Function try to move counter out of the board
12/08/02:46:01 02:46:01 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 5 | OLD_ROLL = 5 || Function try to move counter out of the board
12/08/02:46:03 02:46:03 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:46:04 02:46:04 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:46:05 02:46:05 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 5 | OLD_ROLL = 5 || Function try to move counter out of the board
12/08/02:46:06 02:46:06 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 5 | OLD_ROLL = 5 || Function try to move counter out of the board
12/08/02:46:08 02:46:08 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:46:09 02:46:09 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 1 | OLD_ROLL = 1 || Function try to move counter out of the board
12/08/02:46:10 02:46:10 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:46:11 02:46:11 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:46:12 02:46:12 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:46:13 02:46:13 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:46:14 02:46:14 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 5 | OLD_ROLL = 5 || Function try to move counter out of the board
12/08/02:46:15 02:46:15 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:46:17 02:46:17 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 4 | OLD_ROLL = 4 || Function try to move counter out of the board
12/08/02:46:18 02:46:18 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 4 | OLD_ROLL = 4 || Function try to move counter out of the board
12/08/02:46:20 02:46:20 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 5 | OLD_ROLL = 5 || Function try to move counter out of the board
12/08/02:46:21 02:46:21 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:46:22 02:46:22 - ERROR! - red counter 2! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 4 | OLD_ROLL = 4 || Function try to move counter out of the board
