12/08/02:50:02 02:50:02 - ERROR! - red counter 3! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 5 | OLD_ROLL = 5 || Function try to move counter out of the board
12/08/02:50:02 02:50:02 - ERROR! - red counter 3! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 6 | OLD_ROLL = 6 || Function try to move counter out of the board
12/08/02:50:02 02:50:02 - ERROR! - red counter 3! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 5 | OLD_ROLL = 5 || Function try to move counter out of the board
12/08/02:50:02 02:50:02 - ERROR! - red counter 3! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 1 | OLD_ROLL = 1 || Function try to move counter out of the board
12/08/02:50:02 02:50:02 - ERROR! - red counter 3! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 6 | OLD_ROLL = 6 || Function try to move counter out of the board
12/08/02:50:02 02:50:02 - ERROR! - red counter 3! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:50:02 02:50:02 - ERROR! - red counter 3! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 1 | OLD_ROLL = 1 || Function try to move counter out of the board
12/08/02:50:02 02:50:02 - ERROR! - red counter 3! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:50:02 02:50:02 - ERROR! - red counter 3! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:50:02 02:50:02 - ERROR! - red counter 3! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 5 | OLD_ROLL = 5 || Function try to move counter out of the board
12/08/02:50:02 02:50:02 - ERROR! - red counter 3! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 4 | OLD_ROLL = 4 || Function try to move counter out of the board
12/08/02:50:02 02:50:02 - ERROR! - red counter 3! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:50:02 02:50:02 - ERROR! - red counter 3! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 1 | OLD_ROLL = 1 || Function try to move counter out of the board
12/08/02:50:02 02:50:02 - ERROR! - red counter 3! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 4 | OLD_ROLL = 4 || Function try to move counter out of the board
12/08/02:50:03 02:50:03 - ERROR! - red counter 3! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:50:03 02:50:03 - ERROR! - red counter 3! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 1 | OLD_ROLL = 1 || Function try to move counter out of the board
12/08/02:50:03 02:50:03 - ERROR! - red counter 3! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:50:03 02:50:03 - ERROR! - red counter 3! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:50:03 02:50:03 - ERROR! - red counter 3! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 4 | OLD_ROLL = 4 || Function try to move counter out of the board
12/08/02:50:03 02:50:03 - ERROR! - red counter 3! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:50:03 02:50:03 - ERROR! - red counter 3! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:50:03 02:50:03 - ERROR! - red counter 3! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 5 | OLD_ROLL = 5 || Function try to move counter out of the board
12/08/02:50:03 02:50:03 - ERROR! - red counter 3! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 5 | OLD_ROLL = 5 || Function try to move counter out of the board
12/08/02:50:03 02:50:03 - ERROR! - red counter 3! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 5 | OLD_ROLL = 5 || Function try to move counter out of the board
12/08/02:50:03 02:50:03 - ERROR! - red counter 3! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:50:03 02:50:03 - ERROR! - red counter 3! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:50:03 02:50:03 - ERROR! - red counter 3! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:50:03 02:50:03 - ERROR! - red counter 3! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:50:03 02:50:03 - ERROR! - red counter 3! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 4 | OLD_ROLL = 4 || Function try to move counter out of the board
12/08/02:50:03 02:50:03 - ERROR! - red counter 3! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 6 | OLD_ROLL = 6 || Function try to move counter out of the board
12/08/02:50:03 02:50:03 - ERROR! - red counter 3! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:50:03 02:50:03 - ERROR! - red counter 3! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 4 | OLD_ROLL = 4 || Function try to move counter out of the board
12/08/02:50:03 02:50:03 - ERROR! - red counter 3! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:50:03 02:50:03 - ERROR! - red counter 3! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 4 | OLD_ROLL = 4 || Function try to move counter out of the board
12/08/02:50:04 02:50:04 - ERROR! - red counter 3! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 4 | OLD_ROLL = 4 || Function try to move counter out of the board
12/08/02:50:04 02:50:04 - ERROR! - red counter 3! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:50:04 02:50:04 - ERROR! - red counter 3! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 1 | OLD_ROLL = 1 || Function try to move counter out of the board
12/08/02:50:04 02:50:04 - ERROR! - red counter 3! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:50:04 02:50:04 - ERROR! - red counter 3! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 5 | OLD_ROLL = 5 || Function try to move counter out of the board
12/08/02:50:04 02:50:04 - ERROR! - red counter 3! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 5 | OLD_ROLL = 5 || Function try to move counter out of the board
12/08/02:50:04 02:50:04 - ERROR! - red counter 3! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 5 | OLD_ROLL = 5 || Function try to move counter out of the board
